"id","name","code","account_type","reconcile"
"a101","Fons Social","101","liability_non_current","False"
"a102","Capital","102","liability_non_current","False"
"a108","Accions o participacions pròpies en situacions especials","108","liability_non_current","False"
"a109","Accions o participacions pròpies per reducció de capital","109","liability_non_current","False"
"a110","Prima d'emissió","110","liability_non_current","False"
"a112","Reserva legal","112","liability_non_current","False"
"a113","Reserves Estatutàries","113","liability_non_current","False"
"a114","Reserves Voluntàries","114","liability_non_current","False"
"a118","Aportacions de socis o propietaris","118","liability_non_current","False"
"a119","Altres reserves","119","liability_non_current","False"
"a131","Donacions i llegats de capital","131","liability_non_current","False"
"a141","Provisió per tributs","141","liability_non_current","True"
"a143","Provisió per desmantellament, retirament o rehabilitació de l'immobilitzat","143","liability_non_current","True"
"a145","Provisió per actuacions mediambientals","145","liability_non_current","True"
"a160","Deutes a llarg termini amb entitats de crèdit vinculades","160","liability_non_current","False"
"a161","Proveïdors d'immobilitzat a llarg termini, parts vinculades","161","liability_non_current","False"
"a162","Creditors per arrendament financer a llarg termini, parts vinculades","162","liability_non_current","False"
"a163","Altres deutes a llarg termini amb parts vinculades","163","liability_non_current","False"
"a170","Deutes a llarg termini amb entitats de crèdit","170","liability_non_current","False"
"a171","Deutes a llarg termini","171","liability_non_current","False"
"a173","Proveïdors d'immobilitzat a llarg termini","173","liability_non_current","False"
"a174","Creditors per arrendament financer a llarg termini","174","liability_non_current","False"
"a175","Efectes a pagar a llarg termini","175","liability_non_current","False"
"a177","Obligacions i bons","177","liability_non_current","False"
"a179","Deutes representats en altres valors negociables","179","liability_non_current","False"
"a180","Fiances rebudes a llarg termini","180","liability_non_current","False"
"a181","Bestretes rebudes per vendes o prestacions de serveis a llarg termini","181","liability_non_current","False"
"a185","Dipòsits rebuts a llarg termini","185","liability_non_current","False"
"a194","Capital emès pendent d'inscripció al Registre de Societats","194","liability_non_current","False"
"a200","Despeses d'establiment","200","asset_fixed","False"
"a201","Investigació","201","asset_fixed","False"
"a202","Desenvolupament","202","asset_fixed","False"
"a203","Concessions administratives","203","asset_fixed","False"
"a205","Fons de comerç","205","asset_fixed","False"
"a206","Drets de traspàs","206","asset_fixed","False"
"a207","Aplicacions informàtiques","207","asset_fixed","False"
"a208","Altre immobilitzat intangible","208","asset_fixed","False"
"a209","Bestretes per immobilitzat intangible","209","asset_fixed","False"
"a210","Terrenys i béns naturals","210","asset_fixed","False"
"a211","Construccions","211","asset_fixed","False"
"a212","Instal·lacions tècniques","212","asset_fixed","False"
"a213","Maquinària","213","asset_fixed","False"
"a214","Utillatge","214","asset_fixed","False"
"a215","Altres instal·lacions","215","asset_fixed","False"
"a216","Mobiliari","216","asset_fixed","False"
"a217","Equips per a processos d'informació","217","asset_fixed","False"
"a218","Elements de transport","218","asset_fixed","False"
"a219","Altre immobilitzat tangible","219","asset_fixed","False"
"a220","Inversions en terrenys i béns naturals","220","asset_fixed","False"
"a221","Inversions en construccions","221","asset_fixed","False"
"a230","Adaptació de terrenys i béns naturals","230","asset_fixed","False"
"a231","Construccions en curs","231","asset_fixed","False"
"a232","Instal·lacions tècniques en muntatge","232","asset_fixed","False"
