"id","code","name","account_type","reconcile"
"a100","10000000","Capital social","liability_non_current","False"
"a101","10100000","Fons Social","liability_non_current","False"
"a102","10200000","Capital","liability_non_current","False"
"a108","10800000","Accions o participacions pròpies en situacions especials","liability_non_current","False"
"a109","10900000","Accions o participacions pròpies per reducció de capital","liability_non_current","False"
"a110","11000000","Prima d'emissió","liability_non_current","False"
"a112","11200000","Reserva legal","liability_non_current","False"
"a113","11300000","Reserves Estatutàries","liability_non_current","False"
"a114","11400000","Reserves Voluntàries","liability_non_current","False"
"a118","11800000","Aportacions de socis o propietaris","liability_non_current","False"
"a119","11900000","Altres reserves","liability_non_current","False"
"a129","12900000","Resultat de l’exercici","equity_unaffected","False"
"a131","13100000","Donacions i llegats de capital","liability_non_current","False"
"a141","14100000","Provisió per tributs","liability_non_current","True"
"a143","14300000","Provisió per desmantellament, retirament o rehabilitació de l'immobilitzat","liability_non_current","True"
"a145","14500000","Provisió per actuacions mediambientals","liability_non_current","True"
"a160","16000000","Deutes a llarg termini amb entitats de crèdit vinculades","liability_non_current","False"
"a161","16100000","Proveïdors d'immobilitzat a llarg termini, parts vinculades","liability_non_current","False"
"a162","16200000","Creditors per arrendament financer a llarg termini, parts vinculades","liability_non_current","False"
"a163","16300000","Altres deutes a llarg termini amb parts vinculades","liability_non_current","False"
"a170","17000000","Deutes a llarg termini amb entitats de crèdit","liability_non_current","False"
"a171","17100000","Deutes a llarg termini","liability_non_current","False"
"a173","17300000","Proveïdors d'immobilitzat a llarg termini","liability_non_current","False"
"a174","17400000","Creditors per arrendament financer a llarg termini","liability_non_current","False"
"a175","17500000","Efectes a pagar a llarg termini","liability_non_current","False"
"a177","17700000","Obligacions i bons","liability_non_current","False"
"a179","17900000","Deutes representats en altres valors negociables","liability_non_current","False"
"a180","18000000","Fiances rebudes a llarg termini","liability_non_current","False"
"a181","18100000","Bestretes rebudes per vendes o prestacions de serveis a llarg termini","liability_non_current","False"
"a185","18500000","Dipòsits rebuts a llarg termini","liability_non_current","False"
"a194","19400000","Capital emès pendent d'inscripció al Registre de Societats","liability_non_current","False"
"a200","20000000","Despeses d'establiment","asset_fixed","False"
"a201","20100000","Investigació","asset_fixed","False"
"a202","20200000","Desenvolupament","asset_fixed","False"
"a203","20300000","Concessions administratives","asset_fixed","False"
"a205","20500000","Fons de comerç","asset_fixed","False"
"a206","20600000","Drets de traspàs","asset_fixed","False"
"a207","20700000","Aplicacions informàtiques","asset_fixed","False"
"a208","20800000","Altre immobilitzat intangible","asset_fixed","False"
"a209","20900000","Bestretes per immobilitzat intangible","asset_fixed","False"
"a210","21000000","Terrenys i béns naturals","asset_fixed","False"
"a211","21100000","Construccions","asset_fixed","False"
"a212","21200000","Instal·lacions tècniques","asset_fixed","False"
"a213","21300000","Maquinària","asset_fixed","False"
"a214","21400000","Utillatge","asset_fixed","False"
"a215","21500000","Altres instal·lacions","asset_fixed","False"
"a216","21600000","Mobiliari","asset_fixed","False"
"a217","21700000","Equips per a processos d'informació","asset_fixed","False"
"a218","21800000","Elements de transport","asset_fixed","False"
"a219","21900000","Altre immobilitzat tangible","asset_fixed","False"
"a220","22000000","Inversions en terrenys i béns naturals","asset_fixed","False"
"a221","22100000","Inversions en construccions","asset_fixed","False"
"a230","23000000","Adaptació de terrenys i béns naturals","asset_fixed","False"
"a231","23100000","Construccions en curs","asset_fixed","False"
"a232","23200000","Instal·lacions tècniques en muntatge","asset_fixed","False"
"a233","23300000","Maquinària en muntatge","asset_fixed","False"
"a237","23700000","Equips per processos d'informació en muntatge","asset_fixed","False"
"a238","23800000","Altre immobilitzat tangible en curs","asset_fixed","False"
"a239","23900000","Bestretes per immobilitzat tangible","asset_fixed","False"
"a241","24100000","Valors representatius de deute a llarg termini de parts vinculades","asset_fixed","False"
"a242","24200000","Crèdits a llarg termini a parts vinculades","asset_fixed","False"
"a250","25000000","Inversions financeres a llarg termini en instruments de patrimoni","asset_fixed","False"
"a251","25100000","Valors representatius de deute a llarg termini","asset_fixed","False"
"a252","25200000","Crèdits a llarg termini","asset_fixed","False"
"a253","25300000","Crèdits a llarg termini per alienació d'immobilitzat","asset_fixed","False"
"a254","25400000","Crèdits a llarg termini al personal","asset_fixed","False"
"a258","25800000","Imposicions a llarg termini","asset_fixed","False"
"a260","26000000","Fiances constituïdes a llarg termini","asset_fixed","False"
"a265","26500000","Dipòsits constituïts a llarg termini","asset_fixed","False"
"a280","28000000","Amortització acumulada de l'immobilitzat intangible","asset_fixed","False"
"a281","28100000","Amortització acumulada de l'immobilitzat tangible","asset_fixed","False"
"a282","28200000","Amortització acumulada de les inversions immobiliàries","asset_fixed","False"
"a290","29000000","Deteriorament de valor de l'immobilitzat intangible","asset_fixed","False"
"a291","29100000","Deteriorament de valor de l'immobilitzat tangible","asset_fixed","False"
"a292","29200000","Deteriorament de valor de les inversions immobiliàries","asset_fixed","False"
"a293","29300000","Deteriorament de valor de participacions a llarg termini en parts vinculades","asset_fixed","False"
"a294","29400000","Deteriorament de valor de valors representatius de deute a llarg termini de parts vinculades","asset_fixed","False"
"a295","29500000","Deteriorament de valor de crèdits a llarg termini a parts vinculades","asset_fixed","False"
"a296","29600000","Deteriorament de valor de participacions en el patrimoni net a llarg termini","asset_fixed","False"
"a297","29700000","Deteriorament de valor de valors representatius de deute a llarg termini","asset_fixed","False"
"a298","29800000","Deteriorament de valor de crèdits a llarg termini","asset_fixed","False"
"a400","40000000","Proveïdors","liability_payable","True"
"a410","41000000","Creditors per prestacions de serveis","liability_payable","True"
"a430","43000000","Clients","asset_receivable","True"
"a472","47200000","Administracions públiques, import indirecte suportat","asset_current","False"
"a477","47700000","Administracions públiques, impost indirecte repercutit","liability_current","False"
"a555","55500000","Partides pendents d'aplicació","liability_current","False"
"a5729","57290000","Compte Transitori","asset_current","True"
"a600","60000000","Compres de mercaderies","expense","False"
"a606","60600000","Descomptes sobre compres per pagament immediat","expense","False"
"a620","62000000","Despeses en investigació i desenvolupament de l'exercici","expense","False"
"a621","62100000","Arrendaments i cànons","expense","False"
"a622","62200000","Reparacions i conservació","expense","False"
